脚 다리	각
渴 목마를	갈
敢 감히	감
皆 다	개
居 살	거
乾 하늘	건
堅 굳을	견
鏡 거울	경
驚 놀랄	경
鷄 닭	계
階 섬돌	계
孤 외로울	고
穀 곡식	곡
困 곤할	곤
坤 땅	곤
窮 다할	궁
勸 권할	권
卷 책	권
勤 부지런할	근
幾 몇	기
旣 이미	기
但 다만	단
段 층계,조각	단
卵 알	란
覽 볼	람
浪 물결	랑
郞 사내	랑
涼 서늘할	량
露 이슬	로
留 머무를	류
柳 버들	류
晩 늦을	만
忙 바쁠	망
麥 보리	맥
免 면할	면
眠 잠잘	면
勉 힘쓸	면
鳴 울	명
暮 저물	모
墓 무덤	묘
茂 무성할	무
舞 춤출	무
墨 먹	묵
勿 말	물
杯 잔	배
凡 무릇	범
犯 범할	범
逢 만날	봉
扶 도울	부
浮 뜰	부
朋 벗	붕
秘 숨길	비
私 사사로울	사
射 쏠	사
傷 상할	상
霜 서리	상
尙 오히려,높을	상
喪 초상,잃을	상
象 코끼리	상
暑 더울	서
惜 아낄	석
昔 옛	석
設 베풀	설
損 덜	손
誰 누구	수
須 모름지기	수
壽 목숨	수
雖 비록	수
秀 빼어날	수
淑 맑을	숙
叔 아재비	숙
崇 높일	숭
乘 탈	승
施 베풀	시
深 깊을	심
甚 심할	심
我 나	아
顔 얼굴	안
巖 바위	암
仰 우러를	앙
哀 슬플	애
也 어조사	야
揚 떨칠	양
讓 사양할	양
於 어조사	어
憶 생각할	억
嚴 엄할	엄
余 나	여
汝 너	여
亦 또	역
域 지경	역
硯 벼루	연
悅 기쁠	열
炎 불꽃	염
迎 맞이할	영
烏 까마귀	오
悟 깨달을	오
吾 나	오
瓦 기와	와
臥 누울	와
曰 가로	왈
欲 하고자할	욕
憂 근심	우
尤 더욱	우
又 또	우
于 어조사	우
宇 집	우
云 이를	운
源 근원	원
怨 원망할	원
威 위엄	위
猶 같을,오히려	유
遊 놀	유
柔 부드러울	유
儒 선비	유
幼 어릴	유
唯 오직,허락할	유
吟 읊을	음
泣 울	읍
矣 어조사	의
議 의논할	의
而 말이을	이
易 쉬울	이
已 이미	이
仁 어질	인
忍 참을	인
慈 사랑	자
腸 창자	장
栽 심을	재
哉 어조사	재
著 나타날	저
積 쌓을	적
轉 구를	전
錢 돈	전
靜 고요할	정
貞 곧을	정
淨 깨끗할	정
頂 정수리,꼭대기	정
諸 모든	제
帝 임금	제
鐘 쇠북	종
從 좇을	종
酒 술	주
宙 집	주
卽 곧	즉 
曾 일찍	증
證 증거	증
枝 가지	지
之 갈	지
只 다만	지
智 지혜	지
盡 다할	진
執 잡을	집
且 또	차
借 빌릴	차
此 이	차
昌 창성할	창
菜 나물	채
採 캘	채
妻 아내	처
尺 자	척
泉 샘	천
淺 얕을	천
晴 갤	청
招 부를	초
推 가릴	추
追 쫓을	추
就 나아갈	취
吹 불	취
層 층	층
泰 클	태
痛 아플	통
投 던질	투
篇 책	편
閉 닫을	폐
抱 안을	포
楓 단풍나무	풍
豊 풍년	풍
皮 가죽	피
彼 저	피
疲 피곤할	피
匹 짝	필
何 어찌	하
賀 하례할	하
閑 한가할,문지방	한
恨 한할	한
恒 항상	항
刑 형벌	형
虎 범	호
乎 어조사	호
或 혹	혹
混 섞을	혼
婚 혼인할	혼
紅 붉을	홍
華 빛날	화
歡 기쁠	환
皇 임금	황
厚 두터울	후
胸 가슴	흉
喜 기쁠	희
