價 값	가
甘 달	감
減 덜	감
監 볼	감
改 고칠	개
個 낱	개
擧 들	거
健 건강할	건
件 사건	건
建 세울	건
競 다툴	경
景 볕	경
季 철	계
固 굳을	고
故 연고	고
骨 뼈	골
課 매길	과
關 관계할,빗장	관
觀 볼	관
廣 넓을	광
橋 다리	교
具 갖출	구
救 구원할	구
求 구할	구
舊 옛	구
久 오랠	구
局 판	국
君 임금	군
規 법	규
極 다할	극
給 줄	급
其 그	기
器 그릇	기
期 기약할	기
汽 물끓는김	기
技 재주	기
基 터	기
念 생각	념
團 둥글,모일	단
端 바를	단
壇 제단	단
談 말씀	담
都 도읍	도
島 섬	도
到 이를	도
獨 홀로	독
朗 밝을	랑
冷 찰	랭
兩 두	량
量 헤아릴	량
旅 나그네	려
練 익힐	련
領 옷깃	령
令 하여금,명령할	령
料 헤아릴	료
類 무리	류
陸 뭍	륙
律 법	률
望 바랄	망
妹 아랫누이	매
牧 칠	목
武 굳셀	무
味 맛	미
未 아닐	미
倍 갑절	배
變 변할	변
報 갚을	보
富 부자	부
婦 지어미,며느리	부
備 갖출	비
比 견줄	비
費 쓸	비
鼻 코	비
貧 가난할	빈
寫 베낄,쓸	사
謝 사례할	사
師 스승	사
査 조사할	사
産 낳을	산
賞 상줄	상
商 장사	상
常 항상	상
序 차례	서
選 가릴	선
鮮 고울	선
船 배	선
仙 신선	선
善 착할	선
說 말씀	설
星 별	성
聖 성스러울	성
盛 성할	성
聲 소리	성
城 재	성
誠 정성	성
勢 권세	세
歲 해	세
束 묶을	속
送 보낼	송
授 줄	수
守 지킬	수
視 볼	시
試 시험	시
是 옳을	시
識 알	식
氏 성씨	씨
惡 악할	악
眼 눈	안
案 책상,생각	안
暗 어두울	암
約 맺을	약
養 기를	양
餘 남을	여
熱 더울	열
葉 잎	엽
藝 재주	예
屋 집	옥
完 완전할	완
往 갈	왕
曜 빛날	요
浴 목욕할	욕
雨 비	우
雄 수컷	웅
願 원할	원
偉 클	위
爲 할	위
恩 은혜	은
義 옳을	의
移 옮길	이
將 장수	장
財 재물	재
災 재앙	재
爭 다툴	쟁
低 낮을	저
貯 쌓을	저
敵 원수	적
傳 전할	전
切 끊을,간절할	절
節 마디	절
店 가게	점
情 뜻	정
停 머무를	정
精 정기	정
政 정사	정
祭 제사	제
調 고를	조
助 도울	조
鳥 새	조
早 이를	조
操 잡을	조
存 있을	존
終 마칠	종
種 씨	종
坐 앉을	좌
罪 허물	죄
週 주일,돌	주
增 더할	증
志 뜻	지
至 이를	지
支 지탱할	지
進 나아갈	진
眞 참	진
質 바탕	질
次 버금	차
着 붙을	착
察 살필	찰
唱 부를	창
處 곳,살	처
鐵 쇠	철
最 가장	최
祝 빌	축
蟲 벌레	충
忠 충성	충
致 이를	치
齒 이	치
則 법칙	칙
他 다를	타
打 칠	타
卓 높을	탁
炭 숯	탄
宅 집	택
統 거느릴	통
退 물러날	퇴
波 물결	파
板 널빤지	판
敗 패할	패
姊 맏누이	자
筆 붓	필
寒 찰	한
限 한정	한
害 해칠	해
香 향기	향
許 허락할	허
協 도울	협
惠 은혜	혜
好 좋을	호
湖 호수	호
患 근심	환
回 돌	회
效 본받을	효
